record_id,timestamp,stage,hidden_signal_score,simulated_contamination_score,toy_memorization_score,canary_detection_score,ground_truth,evidence_status
SYN-0001,2019-01-01T00:00:00+00:00,SOURCE,0.0443,0.0097,0.0077,0.0986,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0002,2019-01-10T00:00:00+00:00,SOURCE,0.1037,0.0228,0.0255,0.1225,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0003,2019-01-19T00:00:00+00:00,SOURCE,0.16,0.0352,0.0,0.0436,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0004,2019-01-28T00:00:00+00:00,SOURCE,0.2826,0.0622,0.0004,0.1108,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0005,2019-02-06T00:00:00+00:00,SOURCE,0.1412,0.0311,0.0,0.1514,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0006,2019-02-15T00:00:00+00:00,SOURCE,0.0513,0.0113,0.0,0.1282,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0007,2019-02-24T00:00:00+00:00,SOURCE,0.1078,0.0237,0.0323,0.1035,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0008,2019-03-05T00:00:00+00:00,SOURCE,0.1753,0.0386,0.014,0.1337,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0009,2019-03-14T00:00:00+00:00,SOURCE,0.0795,0.0175,0.0043,0.0526,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0010,2019-03-23T00:00:00+00:00,SOURCE,0.1741,0.0383,0.0,0.0833,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0011,2019-04-01T00:00:00+00:00,SOURCE,0.0672,0.0148,0.0,0.075,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0012,2019-04-10T00:00:00+00:00,SOURCE,0.1451,0.0319,0.0119,0.2604,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0013,2019-04-19T00:00:00+00:00,SOURCE,0.1086,0.0239,0.0426,0.1677,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0014,2019-04-28T00:00:00+00:00,SOURCE,0.2354,0.0518,0.0,0.1117,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0015,2019-05-07T00:00:00+00:00,SOURCE,0.1299,0.0286,0.0,0.1397,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0016,2019-05-16T00:00:00+00:00,SOURCE,0.1389,0.0306,0.0,0.0957,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0017,2019-05-25T00:00:00+00:00,SOURCE,0.0497,0.0109,0.0,0.1178,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0018,2019-06-03T00:00:00+00:00,SOURCE,0.0838,0.0184,0.0,0.1213,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0019,2019-06-12T00:00:00+00:00,SOURCE,0.0977,0.0215,0.0351,0.1694,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0020,2019-06-21T00:00:00+00:00,SOURCE,0.1626,0.0358,0.0,0.1722,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0021,2019-06-30T00:00:00+00:00,SOURCE,0.1376,0.0303,0.0073,0.1159,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0022,2019-07-09T00:00:00+00:00,SOURCE,0.1067,0.0235,0.0,0.2005,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0023,2019-07-18T00:00:00+00:00,SOURCE,0.1281,0.0282,0.0251,0.1898,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0024,2019-07-27T00:00:00+00:00,SOURCE,0.125,0.0275,0.0044,0.1486,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0025,2019-08-05T00:00:00+00:00,SOURCE,0.1441,0.0317,0.0228,0.1826,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0026,2019-08-14T00:00:00+00:00,SOURCE,0.2665,0.0586,0.0364,0.1289,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0027,2019-08-23T00:00:00+00:00,SOURCE,0.0626,0.0138,0.0,0.1315,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0028,2019-09-01T00:00:00+00:00,SOURCE,0.144,0.0317,0.0436,0.1186,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0029,2019-09-10T00:00:00+00:00,SOURCE,0.1203,0.0265,0.0,0.086,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0030,2019-09-19T00:00:00+00:00,SOURCE,0.0862,0.019,0.006,0.1249,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0031,2019-09-28T00:00:00+00:00,SOURCE,0.1619,0.0356,0.0584,0.1763,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0032,2019-10-07T00:00:00+00:00,SOURCE,0.1505,0.0331,0.0039,0.0754,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0033,2019-10-16T00:00:00+00:00,SOURCE,0.2332,0.0513,0.0632,0.1235,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0034,2019-10-25T00:00:00+00:00,SOURCE,0.2252,0.0495,0.0204,0.1599,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0035,2019-11-03T00:00:00+00:00,SOURCE,0.0595,0.0131,0.0277,0.1048,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0036,2019-11-12T00:00:00+00:00,SOURCE,0.1837,0.0404,0.0596,0.1695,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0037,2019-11-21T00:00:00+00:00,SOURCE,0.1277,0.0281,0.0,0.1557,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0038,2019-11-30T00:00:00+00:00,SOURCE,0.3507,0.0772,0.0255,0.2315,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0039,2019-12-09T00:00:00+00:00,SOURCE,0.3327,0.0732,0.0,0.1736,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0040,2019-12-18T00:00:00+00:00,SOURCE,0.2382,0.0524,0.0,0.1017,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0041,2019-12-27T00:00:00+00:00,SOURCE,0.257,0.0565,0.0463,0.2035,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0042,2020-01-05T00:00:00+00:00,SOURCE,0.3134,0.0689,0.0228,0.1639,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0043,2020-01-14T00:00:00+00:00,SOURCE,0.1476,0.0325,0.0401,0.1319,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0044,2020-01-23T00:00:00+00:00,SOURCE,0.1317,0.029,0.0,0.0888,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0045,2020-02-01T00:00:00+00:00,SOURCE,0.2333,0.0513,0.0132,0.1715,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0046,2020-02-10T00:00:00+00:00,SOURCE,0.2219,0.0488,0.009,0.1258,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0047,2020-02-19T00:00:00+00:00,SOURCE,0.0557,0.0122,0.0,0.0899,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0048,2020-02-28T00:00:00+00:00,SOURCE,0.4095,0.0901,0.0494,0.1735,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0049,2020-03-08T00:00:00+00:00,ENCODE,0.174,0.0609,0.0175,0.0866,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0050,2020-03-17T00:00:00+00:00,ENCODE,0.1089,0.0381,0.0341,0.1696,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0051,2020-03-26T00:00:00+00:00,ENCODE,0.2663,0.0932,0.059,0.2045,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0052,2020-04-04T00:00:00+00:00,ENCODE,0.2878,0.1007,0.0446,0.1996,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0053,2020-04-13T00:00:00+00:00,ENCODE,0.3539,0.1239,0.0597,0.1601,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0054,2020-04-22T00:00:00+00:00,ENCODE,0.174,0.0609,0.058,0.1452,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0055,2020-05-01T00:00:00+00:00,ENCODE,0.1281,0.0448,0.0,0.1152,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0056,2020-05-10T00:00:00+00:00,ENCODE,0.2884,0.1009,0.0412,0.1141,synthetic_control,FICTIONAL_SIMULATION_ONLY
SYN-0057,2020-05-19T00:00:00+00:00,ENCODE,0.1866,0.0653,0.0051,0.1169,synthetic_positive,FICTIONAL_SIMULATION_ONLY
SYN-0058,2020-05-28T00:00:00+00:00,ENCODE,0.3327,0.1165,0.076,0.2241,synthetic_positive,FICTIONAL_SIMULATION_ONLY
